Project ID,Project Status,Project Name,Project Address,Project Sponsor,Total Units,Total Beds,Affordable Units,Affordable Beds,Single Room Occupancy Units,Studio Units,1 Bedroom Units,2 Bedroom Units,3 Bedroom Units,4 Bedroom Units,5 Bedroom or Larger Units,Units at 20% AMI,Units at 30% AMI,Units at 50% AMI,Units at 60% AMI,Units at 80% AMI,Units at 120% AMI,Units Greater Than 120% AMI,LOSP Units,LOSP Funder,Neighborhood,Supervisor District,Project Location
338,Operational,Geary Courtyard,"639 Geary St, San Francisco, CA 94102",Geary Courtyard Associates,164,0,19,0,0,14,5,0,0,0,0,0,0,13,0,6,0,0,0,,Tenderloin,6,"(37.786598, -122.413813)"
342,Operational,Webster Apartments,"650 Webster St, San Francisco, CA 94102",Progress Foundation,2,0,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,,Hayes Valley,5,"(37.776737, -122.429499)"
343,Operational,Clayton Hotel,"657 Clay St, San Francisco, CA 94111",Chinatown Community Development Center,82,0,81,0,81,0,0,0,0,0,0,0,81,0,0,0,0,0,0,,Chinatown,3,"(37.794496, -122.404081)"
352,Operational,Alcantara Court,"670 Valencia St, San Francisco, CA 94110",Mission Housing Development Corporation,50,0,50,0,0,24,26,0,0,0,0,0,0,50,0,0,0,0,0,,Mission,8,"(37.762278, -122.421716)"
355,Operational,70 Moss,"70 Moss St, San Francisco, CA 94103",Mission Housing Development Corporation,5,0,3,0,0,0,2,0,0,1,0,0,0,0,0,0,3,0,0,,South of Market,6,"(37.777522, -122.407824)"
359,Operational,Canon Kip Community House,"705 Natoma St, San Francisco, CA 94103",Episcopal Community Services,104,0,103,0,103,0,0,0,0,0,0,0,0,21,82,0,0,0,0,,South of Market,6,"(37.776543, -122.412229)"
362,Operational,Tennessee Street Housing Corporation,"712 Tennessee St, San Francisco, CA 94107",Tennessee Street Housing Corporation,6,0,6,0,0,1,3,2,0,0,0,0,0,0,0,4,2,0,0,,Potrero Hill,10,"(37.762802, -122.389797)"
365,Operational,Baker's Dozen,"733 Baker St, San Francisco, CA 94115",Northern California Land Trust,13,13,0,12,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,,Lone Mountain/USF,5,"(37.777682, -122.441823)"
366,Operational,735 Ellis,"735 Ellis St, San Francisco, CA 94109","Asian, Inc.",30,0,30,0,0,24,6,0,0,0,0,0,0,30,0,0,0,0,0,,Tenderloin,6,"(37.784113, -122.418299)"
367,Operational,Mendelsohn House,"737 Folsom St, San Francisco, CA 94107",TODCO Group,189,0,189,0,0,97,91,1,0,0,0,0,0,189,0,0,0,0,0,,South of Market,6,"(37.783094, -122.399726)"
368,Operational,Tower 737 (aka Post St Towers),"737 Post St, San Francisco, CA 94109",Sequoia Equities,248,0,49,0,0,29,12,8,0,0,0,0,0,0,0,49,0,0,0,,Tenderloin,3,"(37.787536, -122.413972)"
376,Operational,Bayside Elderly Housing,"777 Broadway, San Francisco, CA 94133",Chinatown Community Development Center,31,0,30,0,0,30,0,0,0,0,0,0,0,0,0,30,0,0,0,,Chinatown,3,"(37.797418, -122.409899)"
384,Operational,Iroquois Hotel,"835 O'Farrell St, San Francisco, CA 94109",Community Housing Partnership,74,0,74,0,28,35,11,0,0,0,0,0,0,74,0,0,0,0,0,,Tenderloin,6,"(37.785044, -122.41849)"
385,Operational,City Heights Apts (aka Avalon Nob Hill),"840 Post St, San Francisco, CA 94109","Bay Apartment Communities, Inc.",185,0,37,0,0,9,23,5,0,0,0,0,0,37,0,0,0,0,0,,Nob Hill,3,"(37.787427, -122.415699)"
394,Operational,Capp Street Apartments,"890 Capp St, San Francisco, CA 94110",Mission Housing Development Corporation,4,0,3,0,0,0,0,2,1,0,0,0,0,0,0,0,3,0,0,,Mission,9,"(37.752477, -122.417456)"
395,Operational,Hayes Adult Residence,"890 Hayes St, San Francisco, CA 94117",HealthRight360,115,115,0,104,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,,Hayes Valley,5,"(37.775916, -122.431047)"
400,Operational,Junipero Serra House,"926 Fillmore St, San Francisco, CA 94117",Mercy Housing California,25,0,24,0,0,7,17,0,0,0,0,0,0,0,0,24,0,0,0,,Western Addition,5,"(37.777974, -122.431572)"
405,Operational,Leland Apartments,"980 Howard St, San Francisco, CA 94103",TODCO Group,24,0,23,0,0,0,0,23,0,0,0,0,0,23,0,0,0,0,0,,South of Market,6,"(37.780109, -122.406809)"
489,Operational,Geraldine Johnson Manor,"5545 3rd St, San Francisco, CA 94124",Bayview Senior Housing (Bridge Housing / San Francisco Housing Development Corporation),54,0,53,0,0,0,53,0,0,0,0,0,0,53,0,0,0,0,0,,Bayview Hunters Point,10,"(37.72736, -122.393267)"
491,Operational,Cecil Williams Glide Community House,"333 Taylor St, San Francisco, CA 94102",Glide,52,0,52,0,0,22,13,9,8,0,0,0,0,52,0,0,0,0,0,,Tenderloin,6,"(37.785381, -122.411284)"
517,Operational,John King Senior Community,"500 Raymond Ave, San Francisco, CA 94134",Mercy Housing California,91,0,90,0,0,0,90,0,0,0,0,0,0,90,0,0,0,0,0,,McLaren Park,10,"(37.715058, -122.413646)"
880,Operational,The Arc Apartments,"416 Bay St, San Francisco, CA 94133",The Arc,8,0,8,0,0,0,0,5,1,2,0,0,0,8,0,0,0,0,0,,North Beach,3,"(37.805641, -122.413928)"
957,Operational,Monterey Boulevard Apartments,"403 Monterey Blvd, San Francisco, CA 94112",Bernal Heights Neighborhood Center,4,0,4,0,0,0,1,3,0,0,0,0,0,0,4,0,0,0,0,,West of Twin Peaks,7,"(37.731468, -122.444425)"
961,Operational,Crocker Amazon Senior Apartments,"5199 Mission St, San Francisco, CA 94112",Bernal Heights Neighborhood Center,37,0,36,0,0,24,12,0,0,0,0,0,0,36,0,0,0,0,0,,Excelsior,11,"(37.715411, -122.44175)"
965,Operational,Canon Barcus Community House,"670 Natoma St, San Francisco, CA 94103",Episcopal Community Services,48,0,48,0,0,0,4,12,27,5,0,0,0,5,43,0,0,0,0,,South of Market,6,"(37.777229, -122.411557)"
966,Operational,Presentation Senior Community,"301 Ellis St, San Francisco, CA 94102",Mercy Housing California,93,0,92,0,0,61,31,0,0,0,0,0,0,92,0,0,0,0,0,,Tenderloin,6,"(37.785019, -122.411191)"
979,Operational,Monsignor Lyne Community,"118 Diamond St, San Francisco, CA 94114",Mercy Housing California,20,0,19,0,0,4,15,0,0,0,0,0,0,0,0,19,0,0,0,,Castro/Upper Market,8,"(37.760435, -122.437242)"
986,Operational,26th Street Cooperative Apartments,"3327 26th St, San Francisco, CA 94110",Conard House,10,16,0,16,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,,Mission,9,"(37.749082, -122.416633)"
992,Operational,La Playa Apartments,"770 La Playa, San Francisco, CA 94121",Progress Foundation,14,0,13,0,0,0,0,13,0,0,0,0,0,13,0,0,0,0,0,,Outer Richmond,1,"(37.773825, -122.51002)"
993,Operational,Ellis Street Apartments,"864 Ellis St, San Francisco, CA 94109",Tenderloin Neighborhood Development Corporation,25,0,25,0,0,25,0,0,0,0,0,0,0,25,0,0,0,0,0,,Tenderloin,6,"(37.783956, -122.420447)"
998,Operational,Autumn Glow,"654 Grove St, San Francisco, CA 94102",Self Help For The Elderly,15,15,0,15,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,,Hayes Valley,5,"(37.777332, -122.42738)"
1002,Operational,Minna Park Family Housing,"529 Minna St, San Francisco, CA 94103",Asian Neighborhood Design,26,0,25,0,0,0,11,6,7,1,0,0,0,0,25,0,0,0,0,,South of Market,6,"(37.77995, -122.408831)"
1003,Operational,SOMA Residences,"1045 Mission St, San Francisco, CA 94103","Emerald Fund, Inc.",278,0,55,0,0,18,37,0,0,0,0,0,0,55,0,0,0,0,0,,South of Market,6,"(37.780142, -122.40968)"
1005,Operational,Laurel Gardens Apartments,"1555 Turk St, San Francisco, CA 94115",Bethel African Methodist Episcopal Church,52,0,51,0,0,0,12,23,16,0,0,0,0,0,51,0,0,0,0,,Western Addition,5,"(37.780123, -122.434685)"
1006,Operational,479 Natoma,"479 Natoma St, San Francisco, CA 94103","Asian, Inc.",30,0,29,0,0,0,0,14,14,1,0,0,0,0,0,29,0,0,0,,South of Market,6,"(37.780488, -122.407201)"
1010,Operational,Rafiki House,"1761 Turk St, San Francisco, CA 94115",Rafiki House,11,11,0,11,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,,Western Addition,5,"(37.779695, -122.438061)"
1012,Operational,Hotel Isabel,"1091 Mission St, San Francisco, CA 94103",TODCO Group,75,0,73,0,73,0,0,0,0,0,0,0,0,73,0,0,0,0,0,,South of Market,6,"(37.779366, -122.410663)"
1015,Operational,Leland House,"141 Leland Ave, San Francisco, CA 94134",Mercy Housing California,45,0,44,0,44,0,0,0,0,0,0,0,0,44,0,0,0,0,0,,Visitacion Valley,10,"(37.712173, -122.406405)"
1016,Operational,Gabreila Apartments,"583 Natoma St, San Francisco, CA 94103",Housing Development & Neighborhood Preservation Corporation,29,0,29,0,0,0,4,9,12,3,1,0,0,0,0,29,0,0,0,,South of Market,6,"(37.778662, -122.409543)"
1017,Operational,Glenridge Apartments,"9 Berkeley Way, San Francisco, CA 94131",Glenridge Apartments Residents' Council,275,0,273,0,0,0,52,100,113,8,0,0,0,142,0,67,64,0,0,,Glen Park,8,"(37.738764, -122.436931)"
1020,Operational,Columbia Park,"1035 Folsom St, San Francisco, CA 94103",Mercy Housing California,50,0,50,0,0,0,3,12,31,4,0,0,0,0,50,0,0,0,0,,South of Market,6,"(37.77792, -122.406277)"
1021,Operational,The Rose,"125 6th St, San Francisco, CA 94103",Mercy Housing California,76,0,75,0,75,0,0,0,0,0,0,0,0,75,0,0,0,0,0,,South of Market,6,"(37.780674, -122.408244)"
1027,Operational,West Hotel,"141 Eddy St, San Francisco, CA 94102",Tenderloin Neighborhood Development Corporation,105,0,104,0,104,0,0,0,0,0,0,0,0,104,0,0,0,0,0,,Tenderloin,6,"(37.784214, -122.409991)"
1028,Operational,Ambassador Hotel,"55 Mason St, San Francisco, CA 94102",Tenderloin Neighborhood Development Corporation,134,0,134,0,134,0,0,0,0,0,0,0,0,23,111,0,0,0,0,,Tenderloin,6,"(37.783847, -122.40929)"
1031,Operational,Eugene Coleman Senior Community,"328 Tehama St, San Francisco, CA 94103",TODCO Group,85,0,84,0,0,55,29,0,0,0,0,0,0,84,0,0,0,0,0,,South of Market,6,"(37.781981, -122.403379)"
1032,Operational,Midori Hotel,"240 Hyde St, San Francisco, CA 94102",Conard House,77,0,77,0,77,0,0,0,0,0,0,0,0,0,0,77,0,0,0,,Tenderloin,6,"(37.782984, -122.415717)"
1033,Operational,MAC's Children and Family Services,"2168 Cayuga Ave, San Francisco, CA 94112","Mac's Children And Family Services, Inc.",3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Outer Mission,11,"(37.710405, -122.454397)"
1037,Operational,Alexander Residence,"230 Eddy St, San Francisco, CA 94102",Tenderloin Neighborhood Development Corporation,179,0,178,0,0,132,46,0,0,0,0,0,0,178,0,0,0,0,0,,Tenderloin,6,"(37.784134, -122.411498)"
1043,Operational,Golden Gate Apartments,"1820 Post St, San Francisco, CA 94115",Chinatown Community Development Center,72,0,71,0,0,5,13,26,18,9,0,0,0,0,51,20,0,0,0,,Japantown,5,"(37.785383, -122.431772)"
1044,Operational,Bayanihan House,"88 6th St, San Francisco, CA 94103",TODCO Group,152,0,151,0,151,0,0,0,0,0,0,0,0,151,0,0,0,0,0,,South of Market,6,"(37.781068, -122.408935)"
1045,Operational,Sutter Apartments,"1480 Sutter St, San Francisco, CA 94109","Sutter Gough, LP",67,0,67,0,0,24,43,0,0,0,0,0,0,0,67,0,0,0,0,,Western Addition,2,"(37.787232, -122.424738)"
1046,Operational,Bayview Commons,"4445 3rd St, San Francisco, CA 94124",San Francisco Housing Development Corporation,30,0,29,0,0,0,0,19,8,2,0,0,0,8,21,0,0,0,0,,Bayview Hunters Point,10,"(37.737577, -122.389598)"
1047,Operational,Antonia Manor,"180 Turk St, San Francisco, CA 94102",Tenderloin Neighborhood Development Corporation,133,0,133,0,131,0,2,0,0,0,0,0,0,133,0,0,0,0,0,,Tenderloin,6,"(37.783106, -122.412102)"
1048,Operational,Larkin St Assisted Care Program,"129 Hyde St, San Francisco, CA 94102",Larkin Street Youth Services,12,0,12,0,12,0,0,0,0,0,0,0,0,12,0,0,0,0,0,,Tenderloin,6,"(37.781928, -122.415643)"
1049,Operational,Positive Match,"1652 Eddy St, San Francisco, CA 94115",Bernal Heights Neighborhood Center,7,0,7,0,0,0,1,5,1,0,0,0,0,7,0,0,0,0,0,,Western Addition,5,"(37.781167, -122.434866)"
1051,Operational,Planetree Housing Program,"152 Coleridge St, San Francisco, CA 94110",HealthRight360,14,0,11,0,0,0,6,5,0,0,0,0,0,11,0,0,0,0,0,,Bernal Heights,9,"(37.743373, -122.420032)"
1060,Operational,A WOMANS PLACE,"1049 Howard St, San Francisco, CA 94103","Community Awareness & Treatment Services, Inc.",11,54,0,54,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,,South of Market,6,"(37.778758, -122.408323)"
1063,Operational,Fillmore Marketplace Apartments,"1223 Webster St, San Francisco, CA 94115","Fillmore Marketplace Associates, LP",120,0,120,0,0,0,29,30,61,0,0,0,0,0,0,120,0,0,0,,Western Addition,5,"(37.781843, -122.430818)"
1065,Operational,Hazel Betsey,"3554 17th St, San Francisco, CA 94110",Bernal Heights Neighborhood Center,9,0,9,0,0,6,3,0,0,0,0,0,0,9,0,0,0,0,0,,Mission,8,"(37.763153, -122.425221)"
1067,Operational,Maitri,"401 Duboce Ave, San Francisco, CA 94114",Maitri,15,15,0,15,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,,Castro/Upper Market,8,"(37.769405, -122.429159)"
1068,Operational,Eddy Street Apartments,"1096 Eddy St, San Francisco, CA 94109",Progress Foundation,21,0,20,0,0,0,20,0,0,0,0,0,0,20,0,0,0,0,0,,Western Addition,5,"(37.782332, -122.42573)"
1069,Operational,Good Samaritan Apartments,"1290 Potrero Ave, San Francisco, CA 94110",Mission Housing Development Corporation,20,0,19,0,0,0,2,4,7,6,0,0,0,0,0,19,0,0,0,,Mission,9,"(37.751817, -122.40631)"
1072,Operational,1101 Howard,"1101 Howard St, San Francisco, CA 94103",Mercy Housing California,34,0,34,0,0,0,6,14,14,0,0,0,0,0,0,34,0,0,0,,South of Market,6,"(37.77793, -122.409367)"
1073,Operational,Fell Street Apartments,"333 Fell St, San Francisco, CA 94102",Bridge Housing,82,0,82,0,0,4,20,24,34,0,0,0,0,0,0,82,0,0,0,,Hayes Valley,5,"(37.775835, -122.423308)"
1074,Operational,Knox Hotel,"241 6th St, San Francisco, CA 94103",TODCO Group,140,0,138,0,138,0,0,0,0,0,0,0,0,138,0,0,0,0,0,,South of Market,6,"(37.779304, -122.406524)"
1076,Operational,1028 Howard,"1028 Howard St, San Francisco, CA 94103",Mercy Housing California,30,0,30,0,0,0,5,11,14,0,0,0,0,0,0,30,0,0,0,,South of Market,6,"(37.779277, -122.407861)"
1080,Operational,Jordan Apartments,"820 O'Farrell St, San Francisco, CA 94109",Conard House,54,0,54,0,0,54,0,0,0,0,0,0,0,54,0,0,0,0,0,,Tenderloin,6,"(37.785181, -122.418291)"
1081,Operational,214 Dolores,"214 Dolores St, San Francisco, CA 94114",Baker Places,8,0,8,0,8,0,0,0,0,0,0,0,0,8,0,0,0,0,0,,Castro/Upper Market,8,"(37.765992, -122.42668)"
1082,Operational,1761-1765 Page,"1761 Page St, San Francisco, CA 94117",Baker Places,13,0,13,0,13,0,0,0,0,0,0,0,0,13,0,0,0,0,0,,Haight Ashbury,5,"(37.770554, -122.449763)"
1083,Operational,Ferguson Place,"1249 Scott St, San Francisco, CA 94115",Baker Places,12,12,0,12,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,,Western Addition,5,"(37.781252, -122.437433)"
1085,Operational,Precita House,"416 Precita Ave, San Francisco, CA 94110",Bernal Heights Neighborhood Center,5,0,5,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,,Bernal Heights,9,"(37.746843, -122.411436)"
1092,Operational,Broadway Family Apartments,"150 Broadway, San Francisco, CA 94111",Chinatown Community Development Center,81,0,66,0,0,19,0,20,27,0,0,0,0,66,0,0,0,0,0,,Financial District,3,"(37.798712, -122.400498)"
1093,Operational,Rich Sorro Commons,"150 Berry St, San Francisco, CA 94107",Mission Housing Development Corporation,100,0,100,0,0,0,16,39,34,11,0,0,0,100,0,0,0,0,0,,Mission Bay,6,"(37.776697, -122.392322)"
1095,Operational,Paramount,"680 Mission St, San Francisco, CA 94105","Third & Mission Associates, LLC",486,0,99,0,0,21,63,15,0,0,0,0,0,99,0,0,0,0,0,,Financial District,6,"(37.786629, -122.401661)"
1135,Operational,111 Jones,"111 Jones St, San Francisco, CA 94102",Mercy Housing California,107,0,107,0,0,8,64,15,20,0,0,0,0,0,0,107,0,0,0,,Tenderloin,6,"(37.782186, -122.412326)"
1136,Operational,Steamboat Point (Parcel K),"49 Townsend St, San Francisco, CA 94107",Bridge Housing,108,0,108,0,0,0,51,26,31,0,0,0,0,0,0,108,0,0,0,,Mission Bay,6,"(37.781418, -122.389427)"
1137,Operational,Padre Palou Community,"3400 16th St, San Francisco, CA 94114",Mercy Housing California,18,0,18,0,0,0,0,10,6,2,0,0,0,0,0,18,0,0,0,,Castro/Upper Market,8,"(37.764566, -122.428706)"
1138,Operational,Progress Apartments,"1272 South Van Ness Ave, San Francisco, CA 94110",Progress Foundation,12,0,11,0,0,11,0,0,0,0,0,0,0,0,0,11,0,0,0,,Mission,9,"(37.752819, -122.416389)"
1139,Operational,El Dorado Hotel,"150 9th St, San Francisco, CA 94103",Conard House,57,0,43,0,43,0,0,0,0,0,0,0,0,0,0,43,0,0,0,,South of Market,6,"(37.775551, -122.413965)"
1140,Operational,Washburn Hotel,"38 Washburn St, San Francisco, CA 94103",Conard House,22,0,18,0,18,0,0,0,0,0,0,0,0,0,0,18,0,0,0,,South of Market,6,"(37.775386, -122.414601)"
1143,Operational,Odyssey House,"484 Oak St, San Francisco, CA 94102",Baker Places,10,10,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,,Hayes Valley,5,"(37.774482, -122.427298)"
1145,Operational,Diamond View Apartments,"173 Addison St, San Francisco, CA 94131",Diamond View Residents' Association,58,0,58,0,0,0,33,25,0,0,0,0,0,15,43,0,0,0,0,,Glen Park,8,"(37.73817, -122.433015)"
1150,Operational,TIHDI: TISH Phases 1 & 2,"1403 Sturgeon St, San Francisco, CA 94130",Catholic Charities,66,0,66,0,0,0,0,44,18,4,0,0,0,66,0,0,0,0,0,,Treasure Island,6,"(37.826421, -122.37608)"
1151,Operational,TIHDI: Female Offender Treatment and Education Program,"1440 Chinook Ct, San Francisco, CA 94130",HealthRight360,6,20,0,20,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,,Treasure Island,6,"(37.824064, -122.374154)"
1152,Operational,TIHDI: 1445 Chinook,"1445 Chinook Ct, San Francisco, CA 94130",HealthRight360,6,26,0,24,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,,Treasure Island,6,"(37.82435, -122.373521)"
1153,Operational,TIHDI: Swords to Plowshares,"1432 Halibut Ct, San Francisco, CA 94130",Swords To Plowshares,24,56,0,56,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,,Treasure Island,6,"(37.824824, -122.375044)"
1155,Operational,Bryant Street Apartments,"2800 Bryant St, San Francisco, CA 94110",Mission Housing Development Corporation,7,0,7,0,0,0,0,6,0,1,0,0,0,0,0,7,0,0,0,,Mission,9,"(37.749564, -122.408904)"
1164,Operational,Namiki Apartments,"1776 Sutter St, San Francisco, CA 94115",Chinatown Community Development Center / Namiki Apartments Residents Association,34,0,33,0,0,0,33,0,0,0,0,0,0,10,23,0,0,0,0,,Pacific Heights,5,"(37.786613, -122.429607)"
1167,Operational,SOMA Studios,"1188 Howard St, San Francisco, CA 94103",Tenderloin Neighborhood Development Corporation,88,0,88,0,0,88,0,0,0,0,0,0,9,31,44,4,0,0,0,,South of Market,6,"(37.776417, -122.411477)"
1169,Operational,Marlton Manor,"240 Jones St, San Francisco, CA 94102",Mercy Housing California,151,0,150,0,0,140,10,0,0,0,0,0,0,150,0,0,0,0,0,,Tenderloin,6,"(37.783402, -122.412432)"
1170,Operational,Ridgeview Terrace Apartments,"140 Cashmere St, San Francisco, CA 94124","Ridgeview Terrace Affordable Housing, Inc.",101,0,100,0,0,12,36,27,14,10,1,0,0,20,80,0,0,0,0,,Bayview Hunters Point,10,"(37.736187, -122.38467)"
1173,Operational,Friendship House,"56 Julian Ave, San Francisco, CA 94103",Friendship House,20,80,0,80,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,,Mission,9,"(37.767306, -122.421206)"
1183,Operational,Cameo House,"424 Guerrero St, San Francisco, CA 94110",Center on Juvenile & Criminal Justice,11,0,11,0,11,0,0,0,0,0,0,11,0,0,0,0,0,0,0,,Mission,8,"(37.764364, -122.424196)"
1185,Operational,665 Clay,"665 Clay St, San Francisco, CA 94111",Chinatown Community Development Center,25,0,25,0,11,12,1,1,0,0,0,9,9,7,0,0,0,0,0,,Chinatown,3,"(37.79448, -122.404208)"
1187,Operational,Church Street Apartments,"1 Church St, San Francisco, CA 94114",Bridge Housing,93,0,92,0,0,0,30,34,28,0,0,0,0,63,29,0,0,0,0,,Hayes Valley,8,"(37.770333, -122.429166)"
1188,Operational,Carter Terrace,"530 Carter St, San Francisco, CA 94134",Mercy Housing California,101,0,100,0,0,0,29,39,32,0,0,0,32,23,45,0,0,0,0,,Excelsior,10,"(37.708986, -122.423562)"
1189,Operational,Kokoro Assisted Living Facility,"1881 Bush St, San Francisco, CA 94109",Kokoro Assisted Living Inc.,54,0,37,0,0,34,3,0,0,0,0,0,0,7,7,16,7,0,0,,Pacific Heights,5,"(37.787644, -122.428191)"
1190,Operational,O'Farrell Towers,"477 O'Farrell St, San Francisco, CA 94102",Tenderloin Neighborhood Development Corporation,101,0,101,0,0,0,101,0,0,0,0,0,0,101,0,0,0,0,0,,Tenderloin,6,"(37.785786, -122.412607)"
1191,Operational,Notre Dame Apartments,"1590 Broadway, San Francisco, CA 94109",Chinatown Community Development Center,204,0,201,0,0,140,61,0,0,0,0,0,0,100,101,0,0,0,0,,Russian Hill,3,"(37.795819, -122.423262)"
1192,Operational,Maria Manor,"174 Ellis St, San Francisco, CA 94102",Tenderloin Neighborhood Development Corporation,119,0,119,0,119,0,0,0,0,0,0,0,0,36,83,0,0,0,0,,Tenderloin,6,"(37.785395, -122.409106)"
